lokasi,latitude,longitude,pm25,co,suhu,kelembapan
Purwokerto,-7.43,109.24,71,5.95,31,91
Cilacap,-7.72,109.01,109,6.15,29,93
Banyumas,-7.51,109.29,40,7.58,31,91
Purbalingga,-7.39,109.36,142,1.32,24,70
Banjarnegara,-7.37,109.68,40,4.36,36,63
Kebumen,-7.67,109.65,137,7.38,28,63
Tegal,-6.87,109.14,101,4.44,28,89
Pemalang,-6.89,109.38,51,1.04,27,80
Brebes,-6.87,109.04,20,7.9,33,90
Slawi,-6.98,109.13,106,2.82,36,64
Wonosobo,-7.36,109.9,106,5.55,25,65
Magelang,-7.47,110.22,107,3.06,34,64
Semarang,-6.99,110.42,67,1.6,36,86
Solo,-7.56,110.82,38,3.91,24,67
Yogyakarta,-7.8,110.36,135,1.35,26,89
RumahkuDemak,-6.8954449,110.6367297,55,1.40,56,90